step,iteration,mean_reward,best_reward,mean_loss,loss_objective,loss_critic,loss_entropy,fps,elapsed_s
84224,14,-3.9255683422088623,-3.7843174934387207,0.27086163486043613,-0.0004032843168109442,0.28262305818498135,-0.011358139679456751,583.3922733959755,144.36941289901733
90240,15,-3.325096368789673,-3.325096368789673,0.21674056090414523,-0.0010129875417987932,0.22896338192125162,-0.01120983458434542,584.9885764755254,154.25942254066467
96256,16,-3.578535318374634,-3.325096368789673,0.259986129278938,-0.002318188050357698,0.2735215901086728,-0.011217271878073613,585.8291613852571,164.30728673934937
102272,17,-2.5593199729919434,-2.5593199729919434,0.20587467340131602,-0.001987456049061014,0.21891135548551877,-0.011049227067269385,585.6550464808552,174.62839365005493
108288,18,-3.8204989433288574,-2.5593199729919434,0.27429211313525836,-0.0027410245925845326,0.28780085903902847,-0.010767721353719633,585.9604715242242,184.80427479743958
114304,19,-3.53466534614563,-2.5593199729919434,0.24299747534096242,-0.0018942715413246955,0.2558676564445098,-0.010975909985912342,586.0439322168867,195.04339814186096
120320,20,-3.3064236640930176,-2.5593199729919434,0.23834362228711445,-0.0012286298919235476,0.2501975892732541,-0.010625336583082875,585.9335926321817,205.34750270843506
126336,21,-2.466907024383545,-2.466907024383545,0.1754173226033648,-0.001104634251505356,0.1871005962913235,-0.010578639766511818,585.0860998599928,215.92719435691833
132352,22,-1.6705996990203857,-1.6705996990203857,0.17880062125623225,-0.0019207081590357112,0.19099888764321804,-0.010277558102582891,584.1704645870104,226.5640048980713
138368,23,-2.106475591659546,-1.6705996990203857,0.24380757672091324,-0.0009224224181034524,0.25480288118124006,-0.010072882395858566,584.1166289758515,236.88419938087463
144384,24,-0.7462582588195801,-0.7462582588195801,0.2299637330075105,-0.0030220849572401157,0.2425115512063106,-0.009525731989803414,583.4304595106294,247.474223613739
150400,25,1.2203245162963867,1.2203245162963867,0.2142439426233371,-0.004761480157924273,0.22798162512481213,-0.008976204390637576,582.5793145255424,258.16227293014526
156416,26,2.236114740371704,2.236114740371704,0.17525642489393553,-0.0029246643607273508,0.18716878046592075,-0.008987691874305407,583.5542501309179,268.0402035713196
162432,27,5.856019020080566,5.856019020080566,0.1743008943895499,-0.004520631182447291,0.18726214207708836,-0.008440616897617777,583.8227285198957,278.22143959999084
168448,28,9.653639793395996,9.653639793395996,0.2653204593807459,-0.005976245065059634,0.278741205483675,-0.007444502091190467,583.8582908483397,288.5083634853363
174464,29,12.154803276062012,12.154803276062012,0.3459187606970469,-0.003828947259406649,0.3567857804397742,-0.007038073625881225,583.8376937217337,298.8227753639221
180480,30,16.29007911682129,16.29007911682129,0.3528869979083538,-0.0031527777832803436,0.36304158220688504,-0.007001806097105145,583.7939219170487,309.15018677711487
186496,31,17.19572639465332,17.19572639465332,0.400516789406538,-0.0027752633738276225,0.4097837542494138,-0.0064916985187058645,583.7931632879584,319.45560812950134
192512,32,22.60623550415039,22.60623550415039,0.3716769255697727,-0.0034262829638161446,0.38045435945192974,-0.0053511513629928235,583.4520497160918,329.9534213542938
198528,33,23.196247100830078,23.196247100830078,0.5003833356002967,-0.002809054923283938,0.5085104048252106,-0.005318013795961936,583.2935572664431,340.3569223880768
204544,34,23.33064842224121,23.33064842224121,0.5517131467660268,-0.0017922644546015368,0.5580797384182612,-0.004574325700135281,582.4986870035164,351.14928936958313
210560,35,28.173452377319336,28.173452377319336,0.46583254436651866,-0.0016056653276265154,0.4714484639465809,-0.004010254802415148,582.8460919990483,361.26175141334534
216576,36,34.296749114990234,34.296749114990234,0.4581218622624874,-0.0027205297152896584,0.4646267113586267,-0.003784320573322475,583.0453037107216,371.45655512809753
222592,37,33.05523681640625,34.296749114990234,0.4377342268824577,-0.0015187580470191974,0.4427603617310524,-0.003507376838630686,582.580036105081,382.07969069480896
228608,38,35.39611053466797,35.39611053466797,0.396303162475427,-0.00157015526771526,0.4007884589334329,-0.002915140440260681,582.5472348156419,392.4282639026642
234624,39,37.168907165527344,37.168907165527344,0.4748495198786259,-0.002609541814217664,0.4807507373392582,-0.0032916755454304317,581.9800060561537,403.1478703022003
240640,40,37.12950897216797,37.168907165527344,0.3554278552532196,7.410125098343082e-07,0.35758908515175186,-0.0021619701141996,581.7706926130923,413.6337616443634
